0.13;3.95;0.00;0.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
0.26;3.95;-0.01;0.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
0.39;3.95;-0.01;0.42;0.00;2.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
0.53;3.95;-0.01;0.42;-0.01;2.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
0.66;3.94;-0.01;0.42;-0.01;2.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
0.80;3.94;-0.01;0.42;0.01;2.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
0.93;3.94;-0.01;0.43;0.01;2.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
1.06;3.95;0.01;0.43;0.01;2.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
1.20;3.95;0.01;0.43;0.01;2.52;-0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
1.33;3.95;0.01;0.43;0.00;2.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
1.46;3.95;0.01;0.43;0.00;2.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
1.60;3.95;0.01;0.43;0.00;2.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
1.73;3.95;0.00;0.43;0.01;2.51;-0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
1.86;3.95;0.00;0.43;0.01;2.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
2.00;3.95;-0.01;0.43;-0.01;2.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
2.13;3.95;-0.01;0.42;-0.01;2.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
2.27;3.94;-0.02;0.43;0.01;2.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
2.40;3.94;-0.03;0.43;0.01;2.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
2.53;3.95;0.02;0.43;-0.00;2.52;-0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
2.67;3.95;0.03;0.43;-0.00;2.52;-0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
2.80;3.95;0.02;0.43;0.01;2.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
2.93;3.96;0.03;0.43;0.01;2.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
3.07;3.95;0.01;0.43;-0.01;2.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
3.20;3.95;0.00;0.42;-0.01;2.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-23.16;-15.82
